	stool.ASD.22.1	stool.ASD.6.2	stool.ASD.6.1	stool.control.15S.1	stool.control.15S.3	stool.control.31C.3	stool.ASD.22.4	stool.control.40C.4	stool.control.40C.2	stool.control.40C.5	stool.ASD.6.4	stool.control.30C.5	stool.control.30C.3	stool.ASD.7.3	stool.ASD.7.1	stool.ASD.14.1	stool.ASD.14.3	stool.control.13S.1B	stool.control.30C.1	stool.ASD.24.2	stool.control.32C.3	stool.control.38C.2A	stool.control.39C.1	stool.control.39C.2	stool.control.13S.2	stool.ASD.7.2	stool.control.40C.1	stool.control.39C.4	stool.ASD.27.4	stool.ASD.27.5	stool.ASD.22.2	stool.control.31C.1	stool.control.39C.3	stool.control.15S.2	stool.ASD.22.3	stool.ASD.7.4	stool.control.28S.2	stool.ASD.24.1	stool.ASD.27.1	stool.ASD.12.1	stool.ASD.14.4	stool.control.28S.3	stool.ASD.12.2	stool.control.30C.4	stool.control.32C.1	stool.control.32C.2.run2	stool.control.38C.1.ASU	stool.ASD.14.2	stool.control.15S.4	stool.ASD.27.2	stool.control.31C.2
stool.ASD.6.4	0.4410171569663894	0.30363126178680755	0.30389768493925967	0.45823544959710083	0.40584220032460966	0.40053587901353227	0.3916763300487	0.4005871007403652	0.36351660589998114	0.4573793054888946	0.0	0.3759939229570036	0.3298518941203482	0.47629884005935275	0.4285149245293353	0.458383095301449	0.41492101329039277	0.41729687712718466	0.47100395542916146	0.3297828194435028	0.36627693913253556	0.38094492766900806	0.407604400753235	0.3631463177443877	0.3559583017228318	0.4234753743768276	0.4447614782553327	0.389984429303669	0.424039377640942	0.42828321719054957	0.36442449198578053	0.47483627824894664	0.42188943896070924	0.44880455170626776	0.3894105217104218	0.47138314631389433	0.41556239226600417	0.3435479467753441	0.4082549908001187	0.4241216739254578	0.5222627494817785	0.354499132114888	0.43521110758700376	0.3759009262518562	0.38910977081151277	0.403856759529019	0.38943014058670467	0.4531693050919234	0.45855222449860944	0.4111829048746806	0.4161137720654143
stool.control.30C.5	0.3843763753747811	0.4633078167259587	0.3993298692795966	0.3968470914498186	0.3406788050678823	0.3243642514785054	0.3491317122456373	0.2763600324558681	0.25973424985492083	0.29945366361985487	0.3759939229570036	0.0	0.22063215114983759	0.46581276566513236	0.389119083838098	0.40571189004645725	0.3532963180814585	0.4726339764992383	0.4343404052745767	0.3645460158513301	0.40854597230656203	0.3597001500736002	0.3929685114159206	0.3614000089835615	0.38542127184842406	0.40337437499126455	0.39759874362357106	0.3742868645441074	0.43477473726769017	0.4590214987058364	0.31889433604263007	0.505474434785205	0.35050161810778135	0.3580384068838201	0.3544754511283098	0.4405331657682825	0.3281430040936803	0.31366712142727876	0.3777740009067086	0.4673211270475702	0.4154406285348759	0.31409882994271726	0.4373892464040791	0.22543239218937391	0.4017184106360784	0.3659630685823119	0.3207246637381754	0.3972912896646059	0.38164321310500116	0.4080022873061173	0.40838349040084737
stool.control.30C.3	0.3900571927113645	0.3723876224959622	0.3360536778713425	0.4176358393865388	0.33840579759657374	0.3359364678605382	0.3509239451671916	0.3016493832483359	0.22187891381128103	0.3416592736248185	0.3298518941203482	0.22063215114983759	0.0	0.3945197139800222	0.36934255455548837	0.40469035138226295	0.3663840635269528	0.43600202859896775	0.40750294250745	0.34134481716075327	0.3245616947092529	0.300606434488244	0.37295745001127134	0.3262322002247199	0.36689796268139235	0.3552654776773082	0.3563121922827576	0.3476669879079119	0.39012112062468113	0.4185534691466586	0.3221817411100381	0.4399679543256602	0.367914046908047	0.3882310267750704	0.3355028959600419	0.4178911044835337	0.32865309383451013	0.31457717901394017	0.3517405938784452	0.3957296798408397	0.49720609351063166	0.3066407090993068	0.42424831966054233	0.24747112048414527	0.34508920560165646	0.32976250995014683	0.2989658721562447	0.4376097730248115	0.39938665962097086	0.36185053170003684	0.38722113664992797
stool.ASD.7.3	0.48762400074754697	0.48396761370770974	0.4747480490824193	0.4638512474581655	0.42312435017442895	0.4351228154356178	0.4603747535804333	0.4723384182211377	0.427368409878315	0.5056494353132103	0.47629884005935275	0.46581276566513236	0.3945197139800222	0.0	0.30053047645344033	0.4540325944340215	0.43292171162311593	0.38928403775315745	0.38784312787068664	0.45273882289407297	0.38531379045084885	0.36419648223089696	0.39820611837867975	0.43730023086084396	0.4213917578805601	0.26366815522661896	0.4867833153426237	0.4567528091563907	0.4401618932832148	0.43063201050416255	0.45692712128359086	0.4302188665287745	0.4980301218836853	0.45422348407148694	0.4385000191420391	0.28531619232875166	0.4560518166174675	0.4482524437621754	0.4086273132106241	0.39578239277378996	0.5791719885537184	0.44748394890180937	0.38287354155249703	0.45909028194842233	0.3991205817819899	0.3713423930764762	0.3904943695380786	0.4672842869226505	0.4244433990988059	0.4255923469648333	0.39400923262973064
stool.ASD.7.1	0.405698520577807	0.4879738819810543	0.4576233358606793	0.40679690711381683	0.3426508070498491	0.37063941718800864	0.4199298115683977	0.4060911464625428	0.41471347003936593	0.461175049674068	0.4285149245293353	0.389119083838098	0.36934255455548837	0.30053047645344033	0.0	0.3571964103149623	0.35825658881537487	0.3941773310295353	0.4462505268308292	0.3973630734273438	0.3925464975647314	0.39809753911934304	0.41431641125681523	0.3908016536300498	0.3907201837644375	0.24338634587781519	0.4642215962604278	0.4552281697157339	0.41955175388596044	0.43202005490594986	0.39064567541656225	0.46186138302114016	0.45158994432791355	0.39397601672510224	0.3757196188372165	0.2938150106833577	0.3709004638024749	0.3821622656276554	0.3563077997663917	0.4183248517047811	0.4757116452999021	0.35889887018170596	0.40348508443854925	0.41377497291274645	0.38541496114836205	0.34773987106171433	0.3625700773747137	0.34981219619852666	0.3558594890049813	0.3984404789995466	0.3329608341147937
stool.ASD.14.1	0.39721999938644686	0.5311659183824625	0.5075082604466989	0.35280623030285313	0.32184173363352464	0.3928755118671638	0.47368911518709816	0.3980313063368173	0.37889798463275726	0.41778500416777	0.458383095301449	0.40571189004645725	0.40469035138226295	0.4540325944340215	0.3571964103149623	0.0	0.21926897940107018	0.48065536503948125	0.432478988865654	0.469300495727092	0.455897557159643	0.44770394922543183	0.4675508835349792	0.4772416582246439	0.4465302629046216	0.4135034781499476	0.46443248078214566	0.4714570614623903	0.4892216937663459	0.5194738905567342	0.3780190643058336	0.5332878326449998	0.4945283328273575	0.34472989784347097	0.4205600869195615	0.4376164772050748	0.361656988296026	0.44933976051145724	0.3573376120521129	0.5112561860418317	0.4063967047828736	0.37662525363179467	0.4817744664403368	0.4100838731095652	0.4591642447204727	0.43836319272850705	0.3962066840775508	0.23772554755467398	0.3724253318576908	0.4514451699551061	0.4348996084040251
stool.ASD.14.3	0.3888293195277544	0.4988060393770843	0.4639484123206241	0.32026552205683123	0.2554846347562096	0.35757439440891664	0.423658513106724	0.36570915098311824	0.33612936965363716	0.37778775933519976	0.41492101329039277	0.3532963180814585	0.3663840635269528	0.43292171162311593	0.35825658881537487	0.21926897940107018	0.0	0.4385999959446973	0.43153806350774443	0.438209628855312	0.42601823994581783	0.4268875697524565	0.4811908255491011	0.4527689875009621	0.4180942118568105	0.3808541070495116	0.43367283391386185	0.45328564858723774	0.4373892705358762	0.49049845060740593	0.33375052854189724	0.5116105832339005	0.450639711598118	0.25373332628922485	0.37064654584470486	0.4132478772759325	0.3135293578242126	0.40555422913378497	0.35566433288596966	0.48990963490260325	0.35692582323837957	0.30458379089660764	0.44445684283202974	0.3645063450469974	0.4192051373000545	0.38517863326103247	0.3799311939099433	0.2466549600478164	0.3197916708225848	0.3989234295575837	0.3940550205893675
stool.control.13S.1B	0.5135786085301327	0.4409515324065451	0.42311221714026087	0.47902174816132653	0.42512473511334004	0.3924230990528853	0.47192027467225744	0.4790368277830462	0.4487633238363915	0.5181807168464312	0.41729687712718466	0.4726339764992383	0.43600202859896775	0.38928403775315745	0.3941773310295353	0.48065536503948125	0.4385999959446973	0.0	0.4828053421113005	0.412437770173798	0.3776953064653268	0.3848772254641688	0.4490238944455644	0.40384832151458333	0.4048715737173277	0.400318173972087	0.47948486430307535	0.43437130532092083	0.40960510459838967	0.4254510634417033	0.46753239883487957	0.3839141020380419	0.47868253905337615	0.45844136016653275	0.4678947023989501	0.38758123762099495	0.46222415970658665	0.43757736541661213	0.42455226624509274	0.38540958873093667	0.579316584900197	0.4178768455218672	0.3926648556125764	0.45443965273138626	0.3700024606219016	0.4027682491152435	0.3933892424413773	0.4761061137529496	0.46979143469794016	0.4339446070734845	0.22787423986240124
stool.control.30C.1	0.5025566892679533	0.5305634030136556	0.4989837135395489	0.47936294307154526	0.4256768236857875	0.42372825738099246	0.4898378010132979	0.45500370744159885	0.40712977605864986	0.4743451635009409	0.47100395542916146	0.4343404052745767	0.40750294250745	0.38784312787068664	0.4462505268308292	0.432478988865654	0.43153806350774443	0.4828053421113005	0.0	0.49461037944714553	0.46499180588107836	0.43421701206247676	0.41346185588008244	0.458827443934248	0.4292929271315903	0.4549614034462814	0.429411685797833	0.4804338806477388	0.520475765712501	0.5029433479541613	0.48390079965469096	0.540132675320838	0.4936710920376919	0.4640374803952471	0.45586312508686283	0.42919698004598417	0.45954970792618893	0.45118464635421623	0.41907847323310987	0.493839013454203	0.5707233550250731	0.4744978714798966	0.4892599401117438	0.44559589408761174	0.4546691218073126	0.48584557463711425	0.4202809153288818	0.4925531475370507	0.41789051266787736	0.4766399646384936	0.44553882295970737
stool.ASD.24.2	0.4642732619810496	0.39528793900179054	0.358465272877575	0.4710899643240137	0.41956248433328347	0.3650699269447492	0.3895415823255969	0.40822734896131524	0.38505571282550766	0.4474059649599233	0.3297828194435028	0.3645460158513301	0.34134481716075327	0.45273882289407297	0.3973630734273438	0.469300495727092	0.438209628855312	0.412437770173798	0.49461037944714553	0.0	0.3731495190348957	0.35658933828379213	0.4137207319569283	0.3408816691196905	0.31701067268162825	0.41522277767137517	0.4459335522984919	0.38526593965907524	0.37292276527882895	0.3756931014474094	0.38154454477063476	0.45566847687450757	0.39250197513023444	0.4530423737429704	0.39653530250760893	0.46117311337150685	0.38767036523710774	0.21370808442920478	0.33196116172070905	0.4096123535019139	0.5301460460169899	0.30198673619137834	0.41107350591249936	0.3569032729472014	0.3994395867366752	0.3952531384603706	0.36936126557087834	0.4423689862801682	0.4364057474010651	0.394291124861635	0.4085056319934907
stool.control.32C.3	0.47128381531954133	0.3734903608758644	0.3528924868679033	0.4739461684535353	0.4140073648490446	0.39036843985925607	0.44411264233698045	0.4127115837748037	0.37485383189858934	0.4669178079127064	0.36627693913253556	0.40854597230656203	0.3245616947092529	0.38531379045084885	0.3925464975647314	0.455897557159643	0.42601823994581783	0.3776953064653268	0.46499180588107836	0.3731495190348957	0.0	0.34419372666855796	0.44396568064519903	0.3472554884266136	0.37511214798186426	0.36366915889326384	0.434088873048976	0.37920116021805234	0.3705504096850531	0.36663038382896446	0.4421438884761283	0.37849019799251077	0.41460956564151275	0.4557920657839622	0.43803541988032324	0.4071516703835463	0.4163380905855143	0.38224939776487404	0.4087050010633123	0.3310811150750227	0.5501576339207511	0.3559031473897427	0.4069578332236209	0.42102813770650505	0.14880230894705074	0.217945820881015	0.39990532803722295	0.48148120825174967	0.482479587866116	0.324995201404781	0.3756697594993682
stool.control.38C.2A	0.4464683476554172	0.3858368603921794	0.34775818501871775	0.4830904866933523	0.39865981544101226	0.42183790546949457	0.4003597022799709	0.38999641853224754	0.34444052415905535	0.44098709791153823	0.38094492766900806	0.3597001500736002	0.300606434488244	0.36419648223089696	0.39809753911934304	0.44770394922543183	0.4268875697524565	0.3848772254641688	0.43421701206247676	0.35658933828379213	0.34419372666855796	0.0	0.3540407957424733	0.2859814823267653	0.3623686986801498	0.37963611715098805	0.42093844082494036	0.2883287854645735	0.38169781130411645	0.3891742705857232	0.41007391203411697	0.4172846603077049	0.3672592747601129	0.4400834145995202	0.38917882317491365	0.39003051219267687	0.4166997601132808	0.36047027513297897	0.3890621194541811	0.35742900800034777	0.5634134811151873	0.3600600544843916	0.40122742592633454	0.3774314666036509	0.3422884317705725	0.36146073071845625	0.22716421087897615	0.474844999781894	0.448223695299653	0.3600348342275172	0.4039077860609195
stool.control.39C.1	0.4343805452405303	0.4369233502874395	0.4711483615066899	0.4965297530696352	0.4592375816943147	0.4171389048072519	0.37561501971006445	0.42311038543974133	0.4084953731102541	0.4842683135464996	0.407604400753235	0.3929685114159206	0.37295745001127134	0.39820611837867975	0.41431641125681523	0.4675508835349792	0.4811908255491011	0.4490238944455644	0.41346185588008244	0.4137207319569283	0.44396568064519903	0.3540407957424733	0.0	0.2671991333500606	0.38190312119147823	0.4273202858473724	0.4075779119659677	0.34347307830000184	0.4759400117373401	0.45830667187730073	0.46472765184075443	0.45026369960910717	0.3596909144852788	0.4893648087518404	0.3630677053254178	0.42663210180739697	0.42750254442117197	0.4024977712387246	0.38450688821669415	0.44402186911908575	0.5950509762422439	0.43823833335742174	0.4342431835052627	0.4149294608935913	0.4547610555516164	0.4502965388261012	0.3311845754343696	0.4944007876598275	0.4518664534496566	0.4617513301664415	0.4319742693497338
stool.control.39C.2	0.38635030239345086	0.37720948927012604	0.4014216912694425	0.47956010790117465	0.4298552035466364	0.4279860707203976	0.3278405940081538	0.3669500231737456	0.3853644117722916	0.4341930417895923	0.3631463177443877	0.3614000089835615	0.3262322002247199	0.43730023086084396	0.3908016536300498	0.4772416582246439	0.4527689875009621	0.40384832151458333	0.458827443934248	0.3408816691196905	0.3472554884266136	0.2859814823267653	0.2671991333500606	0.0	0.3806375559514658	0.4244052667641628	0.36811643599294713	0.2598964082371827	0.4264550112770138	0.4136841739095471	0.4017874901909114	0.4058182914674984	0.260896339225227	0.47694367934938403	0.33385269607892587	0.4460287516176359	0.41833676855131535	0.3334105508484826	0.4088862059681406	0.385105326954949	0.5690517561530665	0.3598554800319532	0.4288197189682341	0.3845835771710402	0.36786309426214336	0.40778641808405935	0.31354120670494107	0.46874620465218325	0.47169775504880684	0.3804554620938912	0.39733962461453565
stool.control.13S.2	0.4361686887067735	0.42838655406311954	0.40774261874156875	0.47403917659707695	0.40697483136720247	0.3624492193760266	0.40945604339967173	0.42670475026064075	0.40687728093234105	0.4629049323586329	0.3559583017228318	0.38542127184842406	0.36689796268139235	0.4213917578805601	0.3907201837644375	0.4465302629046216	0.4180942118568105	0.4048715737173277	0.4292929271315903	0.31701067268162825	0.37511214798186426	0.3623686986801498	0.38190312119147823	0.3806375559514658	0.0	0.43018177270910374	0.4590375221568193	0.36429204993124914	0.40772347337671294	0.4354012088461054	0.40545932371532395	0.42553475296644866	0.41894356563904117	0.4574759935262954	0.3970581623127073	0.421485299606052	0.4224061753202832	0.35447518324432237	0.3685134262622542	0.37910238694139375	0.5515214930048215	0.3737218881570667	0.3747055473501185	0.39918832705418655	0.38530190900845335	0.35624116676529316	0.3972218436587888	0.45925032631731355	0.4382425127818111	0.4256637113043317	0.412217926994195
stool.ASD.7.2	0.4672847576020159	0.46345988899206114	0.4378858830497953	0.4192135280617418	0.38347105170548845	0.36707539013262125	0.42999813046944074	0.42331794465946765	0.37717437236915796	0.4544752934419992	0.4234753743768276	0.40337437499126455	0.3552654776773082	0.26366815522661896	0.24338634587781519	0.4135034781499476	0.3808541070495116	0.400318173972087	0.4549614034462814	0.41522277767137517	0.36366915889326384	0.37963611715098805	0.4273202858473724	0.4244052667641628	0.43018177270910374	0.0	0.4831878620359228	0.4443184070607937	0.4136528433667848	0.42498327881769543	0.4151391959357995	0.4540226105939312	0.46841530033447165	0.39047337668399007	0.4085200805841297	0.32924474771603407	0.38566256804450416	0.3932905062050928	0.41349516336996284	0.409619193646027	0.5022316605801557	0.3635933291633432	0.44793960200899985	0.38137286116796076	0.3687842869920823	0.31358600647265644	0.3650587816875111	0.3990550732624481	0.3902294577959252	0.3912775936033494	0.3588286050904692
stool.control.40C.1	0.41366882207991723	0.44456515752285747	0.4534871591037053	0.4670538109252647	0.4042981177399111	0.4304822328528142	0.3654517131083053	0.3748608565706295	0.31938807321752705	0.41772913736028555	0.4447614782553327	0.39759874362357106	0.3563121922827576	0.4867833153426237	0.4642215962604278	0.46443248078214566	0.43367283391386185	0.47948486430307535	0.429411685797833	0.4459335522984919	0.434088873048976	0.42093844082494036	0.4075779119659677	0.36811643599294713	0.4590375221568193	0.4831878620359228	0.0	0.4162582645381383	0.4985247430808243	0.48156838015280745	0.44026484310905845	0.4733393879351151	0.41763108030904894	0.4412644034753016	0.35968888493614015	0.4757502590517456	0.4474912826251672	0.41318768510507997	0.42494354826366393	0.4688913233714006	0.4978900630257683	0.41509053662104356	0.4706503930729409	0.3931837164649233	0.4465686996710944	0.45731440252290584	0.39346143418265406	0.48364362859575805	0.4561573743313045	0.43905407134415303	0.4590924044414154
