	stool.ASD.6.4	stool.ASD.7.1	stool.ASD.7.2	stool.ASD.7.3	stool.ASD.7.4	stool.ASD.12.2	stool.control.13S.1B	stool.control.13S.2	stool.ASD.14.1	stool.ASD.14.2	stool.control.15S.1	stool.control.15S.2	stool.control.15S.3	stool.control.15S.4	stool.ASD.22.1	stool.ASD.22.2	stool.ASD.22.3	stool.ASD.22.4	stool.ASD.24.1	stool.ASD.24.2	stool.ASD.27.1	stool.ASD.27.2	stool.ASD.27.4	stool.ASD.27.5	stool.control.28S.2	stool.control.28S.3	stool.control.30C.1	stool.control.30C.3	stool.control.30C.4	stool.control.30C.5	stool.control.31C.1	stool.control.31C.3	stool.control.32C.1	stool.control.32C.2.run2	stool.control.32C.3	stool.control.38C.1.ASU	stool.control.38C.2A	stool.control.39C.1	stool.control.39C.2	stool.control.39C.3	stool.control.39C.4	stool.control.40C.1	stool.control.40C.2	stool.control.40C.4	stool.control.40C.5
stool.ASD.27.1	11.2249721603	6.16441400297	5.74456264654	7.81024967591	4.472135955	4.472135955	3.31662479036	3.31662479036	3.31662479036	1.41421356237	6.0	6.0	5.56776436283	3.31662479036	1.41421356237	3.31662479036	3.31662479036	3.16227766017	3.31662479036	3.31662479036	0.0	3.31662479036	3.60555127546	2.2360679775	2.44948974278	3.16227766017	4.472135955	2.64575131106	2.2360679775	2.0	3.31662479036	3.31662479036	5.09901951359	3.16227766017	3.31662479036	3.31662479036	3.31662479036	3.31662479036	3.31662479036	3.31662479036	3.31662479036	1.41421356237	1.41421356237	2.44948974278	1.41421356237
stool.ASD.27.2	12.5299640861	4.58257569496	4.69041575982	9.05538513814	2.2360679775	2.2360679775	1.41421356237	1.41421356237	3.74165738677	3.31662479036	4.12310562562	4.12310562562	6.48074069841	1.41421356237	3.31662479036	1.41421356237	1.41421356237	1.73205080757	1.41421356237	1.41421356237	3.31662479036	0.0	4.24264068712	3.74165738677	1.73205080757	1.0	2.2360679775	1.41421356237	2.0	1.73205080757	1.41421356237	1.41421356237	5.19615242271	1.73205080757	1.41421356237	1.41421356237	1.41421356237	1.41421356237	1.41421356237	1.41421356237	1.41421356237	3.31662479036	3.31662479036	1.73205080757	3.31662479036
stool.ASD.27.4	9.64365076099	3.60555127546	2.82842712475	5.29150262213	4.35889894354	4.35889894354	5.29150262213	5.29150262213	3.16227766017	4.35889894354	4.79583152331	4.79583152331	4.24264068712	5.29150262213	4.35889894354	5.29150262213	5.29150262213	5.19615242271	5.29150262213	5.29150262213	3.60555127546	4.24264068712	0.0	2.0	4.79583152331	4.79583152331	4.35889894354	4.24264068712	4.69041575982	4.12310562562	5.29150262213	5.29150262213	6.5574385243	5.19615242271	5.29150262213	5.29150262213	5.29150262213	5.29150262213	5.29150262213	5.29150262213	5.29150262213	4.35889894354	4.35889894354	4.79583152331	4.35889894354
stool.ASD.27.5	10.246950766	5.0	4.472135955	6.32455532034	4.79583152331	4.79583152331	4.472135955	4.472135955	3.74165738677	3.31662479036	5.9160797831	5.9160797831	5.47722557505	4.472135955	3.31662479036	4.472135955	4.472135955	4.35889894354	4.472135955	4.472135955	2.2360679775	3.74165738677	2.0	0.0	3.87298334621	3.87298334621	4.79583152331	3.74165738677	3.74165738677	3.0	4.472135955	4.472135955	5.9160797831	4.35889894354	4.472135955	4.472135955	4.472135955	4.472135955	4.472135955	4.472135955	4.472135955	3.31662479036	3.31662479036	3.87298334621	3.31662479036
stool.control.28S.2	12.8840987267	6.0	5.9160797831	9.53939201417	3.16227766017	3.16227766017	1.0	1.0	3.60555127546	2.0	5.09901951359	5.09901951359	6.40312423743	1.0	2.0	1.0	1.0	1.41421356237	1.0	1.0	2.44948974278	1.73205080757	4.79583152331	3.87298334621	0.0	1.41421356237	3.16227766017	1.0	1.0	1.41421356237	1.0	1.0	5.09901951359	1.41421356237	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	2.0	0.0	2.0
stool.control.28S.3	12.8840987267	5.47722557505	5.56776436283	9.53939201417	3.16227766017	3.16227766017	1.0	1.0	4.35889894354	3.16227766017	5.09901951359	5.09901951359	7.14142842854	1.0	3.16227766017	1.0	1.0	1.41421356237	1.0	1.0	3.16227766017	1.0	4.79583152331	3.87298334621	1.41421356237	0.0	3.16227766017	1.73205080757	1.73205080757	1.41421356237	1.0	1.0	5.09901951359	1.41421356237	1.0	1.0	1.0	1.0	1.0	1.0	1.0	3.16227766017	3.16227766017	1.41421356237	3.16227766017
stool.control.30C.1	12.409673646	3.74165738677	3.87298334621	8.88819441732	0.0	0.0	3.0	3.0	3.0	4.24264068712	2.0	2.0	5.38516480713	3.0	4.24264068712	3.0	3.0	3.16227766017	3.0	3.0	4.472135955	2.2360679775	4.35889894354	4.79583152331	3.16227766017	3.16227766017	0.0	2.2360679775	3.31662479036	3.46410161514	3.0	3.0	5.83095189485	3.16227766017	3.0	3.0	3.0	3.0	3.0	3.0	3.0	4.24264068712	4.24264068712	3.16227766017	4.24264068712
stool.control.30C.3	12.5299640861	5.19615242271	5.09901951359	9.05538513814	2.2360679775	2.2360679775	1.41421356237	1.41421356237	2.82842712475	2.2360679775	4.12310562562	4.12310562562	5.65685424949	1.41421356237	2.2360679775	1.41421356237	1.41421356237	1.73205080757	1.41421356237	1.41421356237	2.64575131106	1.41421356237	4.24264068712	3.74165738677	1.0	1.73205080757	2.2360679775	0.0	1.41421356237	1.73205080757	1.41421356237	1.41421356237	5.19615242271	1.73205080757	1.41421356237	1.41421356237	1.41421356237	1.41421356237	1.41421356237	1.41421356237	1.41421356237	2.2360679775	2.2360679775	1.0	2.2360679775
stool.control.30C.4	12.124355653	5.9160797831	5.83095189485	9.05538513814	3.31662479036	3.31662479036	1.41421356237	1.41421356237	3.74165738677	2.2360679775	5.19615242271	5.19615242271	6.48074069841	1.41421356237	2.2360679775	1.41421356237	1.41421356237	1.0	1.41421356237	1.41421356237	2.2360679775	2.0	4.69041575982	3.74165738677	1.0	1.73205080757	3.31662479036	1.41421356237	0.0	1.0	1.41421356237	1.41421356237	4.12310562562	1.0	1.41421356237	1.41421356237	1.41421356237	1.41421356237	1.41421356237	1.41421356237	1.41421356237	2.2360679775	2.2360679775	1.0	2.2360679775
stool.control.30C.5	11.7473401245	5.47722557505	5.38516480713	8.54400374532	3.46410161514	3.46410161514	1.73205080757	1.73205080757	3.87298334621	2.44948974278	5.29150262213	5.29150262213	6.5574385243	1.73205080757	2.44948974278	1.73205080757	1.73205080757	1.41421356237	1.73205080757	1.73205080757	2.0	1.73205080757	4.12310562562	3.0	1.41421356237	1.41421356237	3.46410161514	1.73205080757	1.0	0.0	1.73205080757	1.73205080757	4.24264068712	1.41421356237	1.73205080757	1.73205080757	1.73205080757	1.73205080757	1.73205080757	1.73205080757	1.73205080757	2.44948974278	2.44948974278	1.41421356237	2.44948974278
