# Constructed from biom file																																																																																																													
#OTU ID	Daewook.1	Daewook.10	Daewook.11	Daewook.12	Daewook.13	Daewook.14	Daewook.15	Daewook.16	Daewook.17	Daewook.18	Daewook.19	Daewook.2	Daewook.20	Daewook.21	Daewook.22	Daewook.23	Daewook.24	Daewook.25	Daewook.26	Daewook.27	Daewook.28	Daewook.29	Daewook.3	Daewook.30	Daewook.31	Daewook.32	Daewook.33	Daewook.34	Daewook.35	Daewook.36	Daewook.37	Daewook.38	Daewook.39	Daewook.4	Daewook.40	Daewook.42	Daewook.43	Daewook.44	Daewook.45	Daewook.46	Daewook.47	Daewook.48	Daewook.5	Daewook.51	Daewook.52	Daewook.53	Daewook.54	Daewook.55	Daewook.56	Daewook.57	Daewook.58	Daewook.59	Daewook.6	Daewook.60	Daewook.61	Daewook.62	Daewook.63	Daewook.64	Daewook.65	Daewook.68	Daewook.7	Daewook.72	Daewook.73	Daewook.74	Daewook.76	Daewook.77	Daewook.78	Daewook.79	Daewook.8	Daewook.80	Daewook.81	Daewook.82	Daewook.83	Daewook.9	stool.ASD.1.1	stool.ASD.12.1	stool.ASD.14.2	stool.ASD.19.1	stool.ASD.22.2	stool.ASD.24.1	stool.ASD.25.2	stool.ASD.3.1A	stool.ASD.4.1	stool.ASD.6.2	stool.ASD.7.2	stool.ASD.8.1	stool.control.13S.1B	stool.control.15S.2	stool.control.18S.1	stool.control.26S.1	stool.control.28S.2	stool.control.29C.1	stool.control.31C.2	stool.control.34C.1	stool.control.35C.1A	stool.control.36C.1	stool.control.37C.1	stool.control.38C.2A	stool.ASD.27.4	stool.control.30C.4	stool.control.32C.2.run2	stool.control.39C.3	stool.control.40C.4						
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella	4	0	0	0	0	0	0	0	3	0	0	13	0	0	0	0	8	0	7	0	0	0	0	0	20	42	13	7	0	15	150	0	9	0	3	0	0	3	95	20	1	5	0	1	0	0	60	86	0	25	0	0	0	0	2	0	3	0	0	0	6	0	0	0	0	0	0	3	2	1	0	0	0	1	4	3	10	3	17	7	22	0	16	0	1	10	2	0	0	0	0	1	0	0	0	4	6	0	0	0	0	0	1						
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Eggerthella	0	0	19	9	8	0	0	5	1	7	0	1	2	8	0	7	2	14	11	0	4	46	9	0	191	13	9	43	53	26	39	16	38	4	1	0	3	0	14	1	0	0	22	0	0	3	6	3	0	0	1	0	57	2	17	0	2	5	2	0	16	0	0	0	1	2	6	10	3	1	36	2	3	0	3	0	0	0	3	0	0	0	0	0	1	4	0	0	4	3	4	0	0	0	0	0	0	0	0	17	0	0	1						
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Slackia	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	68	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	6	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0						
k__Bacteria;p__Bacteroidetes;__;__;__;__	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;__;__	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	29	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__;g__	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	531	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0						
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides	807	192	173	416	2153	553	602	972	307	573	43	1627	36	376	1484	1044	1298	336	722	2846	2727	1212	556	340	143	77	1275	1008	2130	661	59	549	1193	619	2917	713	463	473	50	1861	283	593	270	270	1110	1098	1672	1352	1794	1253	1534	936	372	1967	61	1806	2727	1308	3282	161	337	2223	1973	894	3449	152	1390	1133	345	1229	56	3008	1259	354	1170	992	623	1697	994	1460	1882	1819	364	640	1215	3066	842	3689	1242	1590	868	786	436	2296	1396	743	208	956	1812	338	1613	567	435						
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	14	142	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0						
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Macellibacteroides	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	42	0	5	0	0	0	15	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	16	0	0	1	0	0	19	0	0	0	0	0	0	13	0	0	0	0	0	0	0	27	0	0	0	18	0	0	1	0	0	0	0	0	0	21	0	0	0	0	0	0	1	0	0	14	0	180	0	44	64	0	75	27	0	0	0	0	0	5	0	17	1	0						
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Parabacteroides	232	64	6	1	106	169	43	357	30	72	8	176	3	118	101	7	116	716	58	395	75	196	68	155	17	24	329	104	0	13	5	81	89	58	147	22	63	235	1	145	66	280	8	15	2	25	261	41	1	93	201	88	14	768	14	248	0	191	209	58	85	84	44	158	576	16	189	84	45	88	44	0	144	135	373	186	120	297	133	60	106	1742	7	135	193	380	282	0	44	52	43	96	156	676	54	127	170	314	184	374	100	145	189						
