	stool.ASD.24.1	stool.ASD.14.2	stool.ASD.7.3	stool.ASD.27.1	stool.ASD.12.2	stool.control.32C.1	stool.control.40C.1	stool.control.30C.4	stool.ASD.14.3	stool.control.15S.2	stool.control.31C.1	stool.control.15S.3	stool.ASD.22.4	stool.control.30C.3	stool.control.31C.3	stool.ASD.27.5	stool.ASD.6.2	stool.control.39C.2	stool.control.32C.2.run2	stool.ASD.12.1	stool.control.38C.2A	stool.control.15S.4	stool.ASD.22.2	stool.ASD.24.2	stool.control.40C.5	stool.ASD.7.4	stool.control.38C.1.ASU	stool.control.39C.4	stool.control.30C.1	stool.control.13S.1B	stool.control.30C.5	stool.ASD.7.2	stool.ASD.22.3	stool.ASD.14.4	stool.control.13S.2	stool.ASD.7.1	stool.control.15S.1	stool.control.39C.1	stool.control.32C.3	stool.control.39C.3	stool.ASD.6.1	stool.control.31C.2	stool.control.28S.3	stool.control.40C.4	stool.ASD.27.4	stool.control.28S.2	stool.ASD.22.1	stool.ASD.6.4	stool.ASD.27.2	stool.control.40C.2	stool.ASD.14.1
stool.control.31C.3	0.21656748487035296	0.16720274940000002	0.26916991167811766	0.1443473986362353	0.15123040523258824	0.2823291051042941	0.18620213219411766	0.5160860357824117	0.2999949973411177	0.4134518983202353	0.25835060080564703	0.24084435534864712	0.23968730153929413	0.4294214094111765	0.0	0.25187578741911765	0.22685910239423532	0.21901768974558825	0.22549838912564707	0.24474747853111767	0.24832984255058826	0.22985590659464705	0.32420520942335296	0.13025111861352942	0.549772744913647	0.17223391247347059	0.208789834344	0.4696139985706471	0.21221135000129415	0.24729075583623528	0.5445861838623529	0.22401176891441174	0.20061111381929414	0.26497386036829407	0.1268448829227059	0.15943995113305884	0.28483341289452946	0.22119486879188235	0.29036217943923526	0.46641211056376475	0.2596842184704118	0.11753999498523532	0.16789708691952943	0.5107283217775295	0.22240602448564709	0.1279007021482353	0.36670981064405883	0.3987378398251177	0.16540004364041178	0.49437690661205885	0.17219359091735292
stool.ASD.27.5	0.152385459033	0.2828432700100588	0.0966805335965294	0.33253092478017643	0.25791169982735296	0.11819547476964706	0.25481816706017646	0.4284545129362353	0.14656505577647058	0.24246126158523534	0.13868627486511764	0.09392997685976472	0.319267604181	0.3268777019708824	0.25187578741911765	0.0	0.23543286500264707	0.2356432915094118	0.12880397558088236	0.13323415722011767	0.1705574569065294	0.3364427435404706	0.23727984618211767	0.19358931669182355	0.4687407832504118	0.22981523821	0.2792864930237059	0.35626211654152945	0.17795346464064704	0.163574720347	0.4533407021285294	0.2587216704595294	0.2400830193102941	0.28775867026094115	0.2176917429797059	0.20849954777864704	0.13816352693917647	0.34089579565958816	0.12655018503294116	0.3611232001326471	0.23547863650482354	0.26653214729952945	0.15149656740064704	0.38887633084088236	0.08991800942758824	0.266451063363	0.26592344149400005	0.23060233237788233	0.14175058980152944	0.4083002699503529	0.22389245906447058
stool.ASD.6.2	0.21701090683070587	0.2775456954937647	0.2652480212723529	0.2592852651074118	0.27114995694905886	0.24455638692817647	0.19271855487541176	0.418655495979	0.30904329052005886	0.40021987933847064	0.2022309567251765	0.24197547192500002	0.30868475420164704	0.33682328422305885	0.22685910239423532	0.23543286500264707	0.0	0.17919042307252941	0.18097524416482352	0.19723306275135294	0.1972588854604706	0.34442599923429407	0.2633585793314706	0.1858895260024706	0.45803965413458825	0.24359557706864707	0.1832764377622353	0.35039911759688236	0.21485292030364705	0.19074178904835293	0.4378469281172941	0.2632006197894706	0.19285564852999998	0.345163496065	0.217658799906	0.217154312668	0.30164623657358824	0.3169755312445882	0.27071723727147057	0.35379601133247063	0.17830313035041176	0.18608454100852942	0.18199999606788234	0.4090521282148235	0.21653219971094118	0.26135158110223533	0.30295371164570595	0.32273384032299995	0.17368871067417646	0.4059959384204117	0.2368568123647647
stool.control.39C.2	0.20261753006135294	0.2617297922606471	0.26812154689194123	0.2820303565478235	0.2248446535107647	0.2596332213137647	0.20857414629594118	0.43789161189129405	0.25475897784	0.3812075201412353	0.1995193913187647	0.23917183620929414	0.28559429729758823	0.348077203575353	0.21901768974558825	0.2356432915094118	0.17919042307252941	0.0	0.2070519274087647	0.18996299436694117	0.15309168147817648	0.2813017941824706	0.27238755849	0.15181568768017645	0.4725848469227647	0.23749513517611764	0.14631897303935293	0.3345477314257647	0.17136992100688236	0.2054883659762941	0.4665530641342941	0.2713966367602353	0.1567003454812353	0.3021039042481176	0.17705865799617648	0.21416710600935296	0.28591470999023527	0.24802227060194115	0.2695513593130588	0.3752730692392353	0.20133884435882354	0.19678436634705881	0.1999342778465294	0.4173817837191176	0.21571074112817648	0.22782551079888236	0.30893896949176475	0.330817125837647	0.17980665057164705	0.41787090382341174	0.2010793122095294
stool.control.32C.2.run2	0.149693929856	0.24531373619564706	0.14437736382964705	0.2706453628255294	0.25318735375752943	0.11469502701841179	0.22638431210517646	0.43966133410700003	0.19649948293770592	0.2922358731182353	0.1659710293568235	0.14790784011629413	0.2981311932390588	0.32942074238035296	0.22549838912564707	0.12880397558088236	0.18097524416482352	0.2070519274087647	0.0	0.15355348506335292	0.13460461163999998	0.3327844641417058	0.25940533168311763	0.19369513905647062	0.46923913801294115	0.22168311515347058	0.23699641989811765	0.374760909207353	0.19613252605411763	0.13853557198435293	0.46055800718576473	0.20784828538747058	0.22327480517070586	0.2834118518559412	0.21722831596882353	0.17757907995717645	0.184620412725	0.3049799605210588	0.12888890202135292	0.37764844675388237	0.20299969498041176	0.2148030047482941	0.10407984346835294	0.4068920144110587	0.10365206499282353	0.23497943459905885	0.3045402216033529	0.25524716418488236	0.11030569702958824	0.41532210810205883	0.18848901526923528
stool.ASD.12.1	0.1468760985972353	0.27329216537688233	0.14161229629241176	0.3245507714215883	0.25040539857005883	0.15518556453152943	0.23904573956723532	0.3811328122832941	0.18469884565929415	0.30012169625088236	0.023744480046882354	0.16412534890411767	0.338444502497	0.27485142861064704	0.24474747853111767	0.13323415722011767	0.19723306275135294	0.18996299436694117	0.15355348506335292	0.0	0.13380916519194117	0.3523611825814118	0.19385311893211762	0.17549756932899999	0.4152003589832353	0.262876153804	0.2238054095340588	0.312967452072	0.1775766971332353	0.14166306071100002	0.4085687901872353	0.26180274339188236	0.22397094720335295	0.2982395408257647	0.18899171529582354	0.21517551532405882	0.19906793435541176	0.34212849675582346	0.16652349468964708	0.31650005095664707	0.16347418027682353	0.23390753617270585	0.16827658877817647	0.34661340508605887	0.11839378722194119	0.2474217950712353	0.23413033234964703	0.23622030374517644	0.15692617248517648	0.3537280656065882	0.20199271804658825
stool.control.38C.2A	0.13979299116305882	0.2720603061937647	0.1825785682995294	0.31972614866117643	0.2295560078137647	0.17685533348629412	0.2320356760032941	0.41440810503570585	0.17676735050017645	0.2925484204929412	0.1381417336812941	0.1860285734659412	0.3160873208122353	0.3034797123294118	0.24832984255058826	0.1705574569065294	0.1972588854604706	0.15309168147817648	0.13460461163999998	0.13380916519194117	0.0	0.30889081290488235	0.24018063938805884	0.18296285778976473	0.4398053368765883	0.2554288276264117	0.1834928120675294	0.34792178760370585	0.14149063911658827	0.13472499848352942	0.4447298268545883	0.2511907024164118	0.21130667876823528	0.28894028027182356	0.19869480056235295	0.22560946721447062	0.21170390761464702	0.3019260615147059	0.1852534891814706	0.35116719485352943	0.17138400734499998	0.24747728039652944	0.14540008762388235	0.3907970280818823	0.144962927396	0.23206815712435294	0.2836264385274706	0.26115832923194116	0.13862708883758823	0.39248365248911765	0.1902435239392353
stool.control.15S.4	0.27053081293923525	0.29833843558264705	0.3461702947404118	0.28397743713441176	0.22005355492135292	0.372293748712	0.33447117941652943	0.5661400341101176	0.3256136459469412	0.4343007575686471	0.3628615238845294	0.31346034174635296	0.3467678949047647	0.494655478907	0.22985590659464705	0.3364427435404706	0.34442599923429407	0.2813017941824706	0.3327844641417058	0.3523611825814118	0.30889081290488235	0.0	0.39815229003117647	0.2301786896166471	0.6040935116424118	0.2598759605190588	0.2883641173034706	0.5146879823576471	0.24684439532629415	0.3130564955379411	0.5926105495228824	0.35301647747247056	0.2704631794859412	0.28732008952023524	0.2565881949140588	0.30682715597217647	0.30332786524294114	0.274205265915	0.3793642766891765	0.5190327774018236	0.3352435129722353	0.286743556381647	0.3076634615691176	0.5578459130421765	0.32493509728982356	0.23942377741476467	0.4069422178432941	0.4689409498455294	0.28042566218200005	0.5420786873144705	0.2749515511549412
stool.ASD.22.2	0.21272140186370586	0.38456404476182354	0.2438575151772353	0.42214420355405885	0.34723160095229416	0.2250900361982353	0.3451872026558236	0.2846671919417647	0.23803749486682357	0.31127023070688237	0.19022220182911764	0.2352691779507059	0.3981509810739412	0.18248211659982355	0.32420520942335296	0.23727984618211767	0.2633585793314706	0.27238755849	0.25940533168311763	0.19385311893211762	0.24018063938805884	0.39815229003117647	0.0	0.2674614563918235	0.3095557597742941	0.3711838654650588	0.28231641103911764	0.22689917190741177	0.27112665754935295	0.2522960280378235	0.3110624052833529	0.3669446938715294	0.28752638034405886	0.3185070870994118	0.2934668084340588	0.33316577311182355	0.21397583202082357	0.4347861944805294	0.22150618567670588	0.22818518248829414	0.23057830322776474	0.32826074737952937	0.26248718906088236	0.2616100675781765	0.22512734883699997	0.31767315801547064	0.10675078531188237	0.26259124739211764	0.2502667792189412	0.2576578125703529	0.31111876890658824
stool.ASD.24.2	0.11984372626941175	0.2098075912475294	0.21258556574035292	0.22582543832741175	0.1802433229244706	0.24446718982488233	0.18155990638517647	0.45851589219676475	0.26051413180311767	0.3683960615050588	0.18892789771176471	0.18943258180205885	0.24142773823035296	0.3646930673587059	0.13025111861352942	0.19358931669182355	0.1858895260024706	0.15181568768017645	0.19369513905647062	0.17549756932899999	0.18296285778976473	0.2301786896166471	0.2674614563918235	0.0	0.4967987970882352	0.18380063306900002	0.1652120230297647	0.4020023102132353	0.14462515839376472	0.18722647005399998	0.4885246157532941	0.2206539563512353	0.1337693036308235	0.23532305250805885	0.11219651774611764	0.15524370372223528	0.2264161343025294	0.2642755142828235	0.25278736404358826	0.3984454475369411	0.19292558919935296	0.1397216084645294	0.15818713596058823	0.44982256794364706	0.18116038410952942	0.15393174922270586	0.2932483337080588	0.332023288036647	0.1369088204862941	0.4377989284681765	0.15144502211205882
stool.control.40C.5	0.4349144184534118	0.5713225269411765	0.46534697080105886	0.6134197667721177	0.550896331663647	0.41705511704900006	0.552243169576	0.07485187003641175	0.44566089084441185	0.35207465948529415	0.4058335811524706	0.45147559714794117	0.6178988551288235	0.16586285233070588	0.549772744913647	0.4687407832504118	0.45803965413458825	0.4725848469227647	0.46923913801294115	0.4152003589832353	0.4398053368765883	0.6040935116424118	0.3095557597742941	0.4967987970882352	0.0	0.5700618676762942	0.47078282535176474	0.18901341039382358	0.48044251473470595	0.46632402972764714	0.08590272252399997	0.5549827924367647	0.5178602814568236	0.48648108769041176	0.510748006282	0.5486057331745883	0.4122569027912353	0.6120068636592941	0.39323994924405886	0.14164972199729414	0.4212418812754706	0.5370992514786471	0.46806193758070597	0.15940449014941177	0.4496745435183529	0.5229486750541177	0.28287009797088236	0.3193807344120589	0.469885706001353	0.09874271933605885	0.5083224335081765
stool.ASD.7.4	0.2519509066742941	0.18192524685652942	0.24350225293511762	0.2081620727062941	0.17229837974229412	0.2921832785956471	0.207211900791	0.5463747134184707	0.2918322248912941	0.4153754638424118	0.2769046595737059	0.24489667026317646	0.26897079386347056	0.4625604953088823	0.17223391247347059	0.22981523821	0.24359557706864707	0.23749513517611764	0.22168311515347058	0.262876153804	0.2554288276264117	0.2598759605190588	0.3711838654650588	0.18380063306900002	0.5700618676762942	0.0	0.20196395897958822	0.48188790877552945	0.1702787916892353	0.23652216574782353	0.5768762083225294	0.2524403683797647	0.19844165162264707	0.2674507323928236	0.17029738569629413	0.19129245431535294	0.2958269088710588	0.19068676607358825	0.309661675446	0.48331787926947056	0.28668424366305884	0.20098326942423528	0.24173845925782356	0.5081571576455882	0.24161547421464705	0.15899487727452943	0.3705601957249412	0.4136118264330589	0.21119466401341175	0.5221482983729411	0.1962612530892941
stool.control.38C.1.ASU	0.22487432907882354	0.23303928070011765	0.3127826151124706	0.2618535190251765	0.21110488386470588	0.29290800375417647	0.19486956901764707	0.43247113561805883	0.3085010896659412	0.4257369006111764	0.2291888527457647	0.2938528622840588	0.2754920404758824	0.3636401261237647	0.208789834344	0.2792864930237059	0.1832764377622353	0.14631897303935293	0.23699641989811765	0.2238054095340588	0.1834928120675294	0.2883641173034706	0.28231641103911764	0.1652120230297647	0.47078282535176474	0.20196395897958822	0.0	0.38371514279700003	0.19737915984035298	0.24392544807011768	0.46501515377482355	0.2581917794334706	0.17543331717964705	0.29617672375582355	0.17958408337729412	0.22755431191270592	0.3233691825154706	0.2295376202324706	0.3022871498225294	0.38609033184870595	0.21865269722629413	0.18807780360935294	0.21951705004599997	0.42353403115988236	0.26276859723752943	0.15961252381082355	0.31263330852229415	0.36627851841594117	0.21523360419382354	0.4179557664720588	0.1750490222687647
stool.control.39C.4	0.34239693933217646	0.49231124947523536	0.35879725064641177	0.5307208959757059	0.4563678515733529	0.3192072808038824	0.44953791742417654	0.16523595676835295	0.368479070654	0.3310634780485294	0.30446157249182354	0.36621206863929406	0.5188695414755882	0.1214365367740588	0.4696139985706471	0.35626211654152945	0.35039911759688236	0.3345477314257647	0.374760909207353	0.312967452072	0.34792178760370585	0.5146879823576471	0.22689917190741177	0.4020023102132353	0.18901341039382358	0.48188790877552945	0.38371514279700003	0.0	0.3992432945357059	0.3685578952072353	0.18374824411464702	0.46250453047447054	0.4215770748360589	0.44618334435294116	0.4215365968602941	0.4477789924381764	0.3335073552545883	0.49166607994911765	0.29874799604564706	0.08722033875005883	0.3304660691469412	0.44118006400776466	0.3851362755452353	0.14300330502135297	0.3395803499646471	0.45776771620547063	0.20125373364964705	0.26021858300823525	0.37845451496164706	0.13949501074058823	0.43246408356164706
stool.control.30C.1	0.14521559911411766	0.23315794492517644	0.19887808388388234	0.2850634644495294	0.1856444802964706	0.2311551241984118	0.2141658864025882	0.46054649073629406	0.19517859363170592	0.31592558953705885	0.18883336939258827	0.18479938424441175	0.28440747265588234	0.35966475739235293	0.21221135000129415	0.17795346464064704	0.21485292030364705	0.17136992100688236	0.19613252605411763	0.1775766971332353	0.14149063911658827	0.24684439532629415	0.27112665754935295	0.14462515839376472	0.48044251473470595	0.1702787916892353	0.19737915984035298	0.3992432945357059	0.0	0.18285623154341174	0.4888067041622353	0.24009765094664706	0.1709378632155294	0.2256679870645294	0.16590794997658823	0.18704371821494117	0.2009762927539412	0.27171125366588234	0.23872526364970587	0.403434806262	0.19723641483817647	0.230145219753	0.18526217730976471	0.43010405866800006	0.17850399887364704	0.17688764442141175	0.2819373306820588	0.31991875545382353	0.15497883663770587	0.4301374510708823	0.16598443557382353
stool.control.13S.1B	0.15013281344564705	0.28581630632341176	0.167291490614	0.3028991029210588	0.2338919611952941	0.18770163802476472	0.2653627545372941	0.431677003661353	0.1908576567454706	0.29443964164294123	0.15295780451670588	0.17998339546229414	0.32948905268411766	0.3340653926396471	0.24729075583623528	0.163574720347	0.19074178904835293	0.2054883659762941	0.13853557198435293	0.14166306071100002	0.13472499848352942	0.3130564955379411	0.2522960280378235	0.18722647005399998	0.46632402972764714	0.23652216574782353	0.24392544807011768	0.3685578952072353	0.18285623154341174	0.0	0.4604992465571765	0.2706037020367647	0.22659810812741177	0.293983607763	0.2088626516947059	0.22953685178317645	0.2068495154100588	0.31762871460552944	0.20081431678452943	0.37299308124129416	0.19527780867735295	0.20777374826088232	0.1843114474755294	0.408537825366	0.1525874709015294	0.25315802450552943	0.2881864350399412	0.28681834378205884	0.15967124546864708	0.41338303150170586	0.21156117361594118
stool.control.30C.5	0.42450094863729415	0.5734617936630588	0.4566624739702353	0.6062031647044706	0.5586175596771765	0.4110902404733529	0.5383700999332942	0.050422593030529414	0.4585110188686471	0.3560867949955294	0.40210069761517647	0.45527170359782354	0.6022917682894118	0.17915737482682353	0.5445861838623529	0.4533407021285294	0.4378469281172941	0.4665530641342941	0.46055800718576473	0.4085687901872353	0.4447298268545883	0.5926105495228824	0.3110624052833529	0.4885246157532941	0.08590272252399997	0.5768762083225294	0.46501515377482355	0.18374824411464702	0.4888067041622353	0.4604992465571765	0.0	0.5539194216009999	0.5161521027798824	0.5386144720811177	0.515156514370706	0.5357901719409411	0.42025212694723535	0.6195393668881177	0.3907260966564117	0.13941429400941174	0.42888101934241174	0.5258496589632353	0.4615894359896471	0.17675195226023527	0.43963348954988235	0.532063212612353	0.2897196419782941	0.3180468209353529	0.4703649535367647	0.11509394716676472	0.5136400185948823
